id,trigger,conditions,script,text,options,notes
ngcMoreStartOptions,AddNewGameChoices,,"SetTooltip ngcMoreStart ""Who are you? A survivor? Someone of Enterprise? Only you can tell...""",,"350:ngcMoreStart:None of these options describe me. (Start options added by the More Starts mod)",
ngcMoreStartOptionsPicked,NewGameOptionSelected,"$option == ngcMoreStart","FireAll NewGameMoreStartOptions",,,
ngcSmallStealthStart,NewGameMoreStartOptions,,"SetTooltip ngcSmallStealth ""The capable but logistically strained singleton fleet consisting of a Shade class phase frigate.\n\nYour fleet will spawn in Corvus""",,"1:ngcSmallStealth:An Independent phase recon scout thought to have been destroyed",
ngcSmallStealthPicked,NewGameOptionSelected,"$option == ngcSmallStealth","NGCAddShip uni_shade_Assault
$ngcSmallStealthSelected = true
NGCAddCredits 30000
NGCSetDifficulty normal
AddTextSmall ""Reputation with Independents established"" good
SetTextHighlights ""Independents""
AddTextSmall ""Reputation with lawful factions improved"" good
SetTextHighlights ""lawful factions""
AddTextSmall ""Reputation with unruly factions ruined"" bad
SetTextHighlights ""unruly factions""
NGCSetStartingLocation Corvus -2500 3000
NGCIPhaseStartScript
FireAll ngcUniSecondShipOptions
",,"0:ngcSmallStealthContinue:Continue",
ngcSmallStealthContinue,NewGameOptionSelected,"$option == ngcSmallStealthContinue","$ngcSkipTutorial = true
NGCAddCharacterPoints 3
NGCAddStandardStartingScript
NGCDone",,,
ngcOmenStart,NewGameMoreStartOptions,,"SetTooltip ngcOmen ""This advanced Omen class frigate features an operations center, a strong shield emitter, and the unique emp system capable of crippling hulls many times its size.\n\nYour fleet will spawn in Corvus""",,"0:ngcOmen:An aspiring pioneer equiped with an advanced command frigate",
ngcOmenPicked,NewGameOptionSelected,"$option == ngcOmen","NGCAddShip uni_omen_Command
$ngcOmenSelected = true
NGCSetDifficulty normal
NGCSetStartingLocation Corvus -2500 3000
FireAll ngcUniThirdShipOptions",,,
ngcUniPickSecondShip,ngcUniSecondShipOptions,,"SetTooltip ngcOverlord ""The Auspice-class was formerly an Omen but now a ship retrofitted with a hanger which is only capable of launching non-crewed drone wings.""
SetTooltip ngcShuttle ""Adds three Hermes (D)-class shuttles to your fleet. \n\nThough not regarded as the go-to in times of battle, the Hermes possesses three small ballistic weapon slots which are oftenly fitted defensively. \n\nWhile the Hermes is not as classy, its speed ensures that it has a chance of survival if forced to flee; however, it would be wise to cover one's self when coming to dock to protect against the snicker and chatter of ports...""
SetTooltip ngcKiteS ""Adds a Kite (S)-class shuttle to your fleet.\n\nWith an evasive speed and a paintjob reminiscent of the Domain days, the Kite (S) may not be the logistical option, but one driven by nostalgia.""
SetTooltip ngcBuffalo ""Adds a Buffalo-class freighter to your fleet.\n\nSporting a spaceous shielded cargo hold, the Buffalo is a reliable workhorse of trade fleets throughout the Sector. \n\nUnfortunately, all things have a price, and the Buffalo's is survivability. In combat, the Buffalo is at the mercy of the enemy fleet as its slow speed and low overall structual integrity compromise its survivability.""
SetTooltip ngcDram ""Adds a Dram-class tanker to your fleet.\n\nA generous fuel store and somewhat effective speed, the Dram will see use in any fleet that extends its reach beyond a star system, thus enabling a small fleet to have capability spanning from one side of the sector to the other.""","In addition, your fleet includes...","0:ngcOverlord:The Auspice-class frigate capable of carrying drones
1:ngcShuttle:A 'respectable' fleet of Hermes-class shuttles
2:ngcKiteS:An unarmed, but nimble Kite (S)-class shuttle
3:ngcBuffalo:A more spaceous and vulnerable Buffalo-class freighter
4:ngcDram:A fuel capacity focused Dram-class tanker",
ngcOverlordPicked,NewGameOptionSelected,"$option == ngcOverlord","NGCAddShip uni_omen_Drone",,"0:ngcOmenContinue:Continue",
ngcShuttlePicked,NewGameOptionSelected,"$option == ngcShuttle","NGCAddShip hermes_d_Standard
NGCAddShip hermes_d_Standard
NGCAddShip hermes_d_Standard",,"0:ngcOmenContinue:Continue",
